80
13 	18 	14
14 	22 	15
15 	25 	16
16 	28 	17
17 	19 	13
20 	23 	18
24 	26 	22
27 	29 	25
30 	31 	28
32 	21 	19
33 	24 	23
36 	27 	26
38 	30 	29
40 	32 	31
34 	20 	21
35 	37 	33
37 	39 	36
39 	41 	38
41 	42 	40
42 	35 	34
13 	14 	1
14 	15 	1
15 	16 	1
16 	17 	1
17 	13 	1
20 	18 	2
24 	22 	3
27 	25 	4
30 	28 	5
32 	19 	6
33 	23 	7
36 	26 	8
38 	29 	9
40 	31 	10
34 	21 	11
35 	33 	7
37 	36 	8
39 	38 	9
41 	40 	10
42 	34 	11
18 	13 	2
22 	14 	3
25 	15 	4
28 	16 	5
19 	17 	6
23 	20 	7
26 	24 	8
29 	27 	9
31 	30 	10
21 	32 	11
24 	33 	8
27 	36 	9
30 	38 	10
32 	40 	11
20 	34 	7
37 	35 	12
39 	37 	12
41 	39 	12
42 	41 	12
35 	42 	12
14 	18 	3
15 	22 	4
16 	25 	5
17 	28 	6
13 	19 	2
18 	23 	3
22 	26 	4
25 	29 	5
28 	31 	6
19 	21 	2
23 	24 	3
26 	27 	4
29 	30 	5
31 	32 	6
21 	20 	2
33 	37 	8
36 	39 	9
38 	41 	10
40 	42 	11
34 	35 	7
